ReadName,Mapping_x,MapStart_x,MapEnd_x,Strand,Mapping_y,MapStart_y,MapQual,ReadLength,MapEnd_y,StrandStatus,Region of Interest,StrandDirection
102b377e-ce2a-46b3-81b5-1fba2a3330f4,pFB2,352,504,fwd,pFB2,352,60,153,505,Lag,Others,fwdLag
1e8a6556-c0db-40d0-af58-f6a3182912f8,pFB2,358,520,rev,pFB2,358,60,168,526,Lead,Others,revLead
405b5370-a42c-42bc-b023-eaf58070298f,pFB2,362,515,rev,pFB2,362,60,149,511,Lead,Others,revLead
e2e5a5e0-5433-4897-97c6-e945e821a64f,pFB2,363,473,rev,pFB2,363,21,123,486,Lead,Others,revLead
9b9fd0b3-65f8-4bd1-baad-7505b8fd6d90,pFB2,372,520,rev,pFB2,372,60,146,518,Lead,Others,revLead
6a5826a5-7aa2-462c-89ec-8975ea5fbc64,pFB2,382,544,fwd,pFB2,382,60,165,547,Lag,Others,fwdLag
dc92793b-fea3-44e9-8a4c-3374a0f5697a,pFB2,388,543,rev,pFB2,388,60,163,551,Lead,Others,revLead
6be817dc-5b95-4ff2-948a-12c95f43ce90,pFB2,396,544,fwd,pFB2,396,60,150,546,Lag,Others,fwdLag
3df627a7-d9e8-4124-a512-cfd056412158,pFB2,398,553,rev,pFB2,398,60,156,554,Lead,Others,revLead
ceef7a8e-a868-4582-8c33-4a4ec4b399e9,pFB2,400,503,fwd,pFB2,400,60,143,543,Lag,Others,fwdLag
56af71b3-7859-4008-baf4-912b82ebe53e,pFB2,406,523,fwd,pFB2,406,31,131,537,Lag,Others,fwdLag
e5ed25c5-1aeb-4ebd-8852-6fec68613efb,pFB2,442,598,rev,pFB2,442,33,162,604,Lead,Others,revLead
1bf5b2eb-7c91-40de-b511-2932ad38b628,pFB2,442,585,fwd,pFB2,442,50,150,592,Lag,Others,fwdLag
4d20400d-fad7-44b8-bed0-ce385162849f,pFB2,446,624,fwd,pFB2,446,37,172,618,Lag,Others,fwdLag
dc6ceb9d-00ca-4a2e-ab58-0c98d850dcd0,pFB2,491,632,rev,pFB2,491,60,140,631,Lead,Others,revLead
a26dbc0b-bb9b-41bc-9dee-fa3ff831bb5b,pFB2,570,734,rev,pFB2,570,60,172,742,Lead,Others,revLead
1505ab2a-d07a-4039-80bc-4c3eed72cc0a,pFB2,576,716,fwd,pFB2,576,60,143,719,Lag,Others,fwdLag
db515154-ee03-445b-b397-0b30a4dbc448,pFB2,591,736,rev,pFB2,591,60,149,740,Lead,Others,revLead
7b290c5b-038b-4a4d-a42a-aa1b11c990d4,pFB2,599,771,fwd,pFB2,599,60,161,760,Lag,Others,fwdLag
45e2010a-6ca0-466d-bdd4-78f4ac2562d2,pFB2,600,729,fwd,pFB2,600,60,167,767,Lag,Others,fwdLag
4d0a7bed-e18d-4c06-a166-8aec32b13eaa,pFB2,600,771,rev,pFB2,600,60,167,767,Lead,Others,revLead
ba04418d-cdf8-4d1e-b10c-694e0ba22e62,pFB2,613,764,rev,pFB2,613,20,158,771,Lead,Others,revLead
af1a332a-9b2c-43fe-bef8-929092b2fcae,pFB2,614,750,fwd,pFB2,614,60,156,770,Lag,Others,fwdLag
3d206ba9-695f-43ac-a4f2-878818e849fd,pFB2,614,761,fwd,pFB2,614,60,159,773,Lag,Others,fwdLag
7a253e39-da2c-44d0-8a93-1767e2ef9349,pFB2,615,726,rev,pFB2,615,60,136,751,Lead,Others,revLead
e79dc7fa-62dc-4b61-ad3b-b122644e7ba4,pFB2,628,792,fwd,pFB2,628,60,167,795,Lag,Others,fwdLag
160a4701-b16d-4232-87b2-d4ebef7eb120,pFB2,637,780,fwd,pFB2,637,60,137,774,Lag,Others,fwdLag
1c2e211c-0609-4c1b-b492-d1f120ca7f58,pFB2,640,792,fwd,pFB2,640,60,150,790,Lag,Others,fwdLag
86df35e7-f603-47ae-9884-6d976dab44d3,pFB2,646,802,rev,pFB2,646,60,149,795,Lead,Others,revLead
74087a68-9143-4465-8a69-e29435277de9,pFB2,651,802,rev,pFB2,651,60,148,799,Lead,Others,revLead
161249c0-a06d-4357-995e-262ce105dad6,pFB2,653,788,fwd,pFB2,653,25,134,787,Lag,Others,fwdLag
4b4b9612-3136-4df0-8fb6-b7a375a0f06a,pFB2,652,789,rev,pFB2,652,60,138,790,Lead,Others,revLead
93ca86db-82dd-444a-af26-4e846dbafa2e,pFB2,660,801,fwd,pFB2,660,60,141,801,Lag,Others,fwdLag
825308ba-f842-4a5c-a61d-cf9d3436c377,pFB2,673,846,fwd,pFB2,673,60,163,836,Lag,Others,fwdLag
c72571c3-0207-4613-b9f3-6b9f67066346,pFB2,673,846,fwd,pFB2,673,43,168,841,Lag,Others,fwdLag
684e67e4-6bcc-482d-8aae-a3595abb6953,pFB2,680,842,rev,pFB2,680,60,167,847,Lead,Others,revLead
fe08fd5c-1ff3-4999-9af7-0fb7d8f7b04e,pFB2,682,800,rev,pFB2,682,60,125,807,Lead,Others,revLead
d39d7e46-9481-4956-ab4d-86c83d169b7d,pFB2,686,846,rev,pFB2,686,60,159,845,Lead,Others,revLead
793513d6-f768-45b0-8d7f-befc876b27cb,pFB2,698,854,fwd,pFB2,698,60,155,853,Lag,Others,fwdLag
5878c0b6-1f41-4ce8-9c56-58146f8cff99,pFB2,699,846,fwd,pFB2,699,60,140,839,Lag,Others,fwdLag
b9349195-6cb7-4d21-b35a-d7febb6df121,pFB2,707,871,rev,pFB2,707,60,159,866,Lead,Others,revLead
29a39799-ffe3-46ad-ae8b-948b01b20ddd,pFB2,711,850,rev,pFB2,711,60,142,853,Lead,Others,revLead
e3572c5e-3ce2-4f33-a9cb-faa36c6777eb,pFB2,711,842,rev,pFB2,711,60,131,842,Lead,Others,revLead
d6d94d28-2137-44eb-885b-9a30c84415ca,pFB2,713,873,rev,pFB2,713,60,156,869,Lead,Others,revLead
d0b2cdc4-1fdf-46f8-ac72-f21cb48f42f5,pFB2,719,877,rev,pFB2,719,60,160,879,Lead,Others,revLead
4a4ee08e-770c-46c2-9ba1-86fe61f33a95,pFB2,724,891,fwd,pFB2,724,60,170,894,Lag,Others,fwdLag
b7604cc6-9514-4ecc-ac79-e3b299e6cc01,pFB2,730,901,fwd,pFB2,730,56,171,901,Lag,Others,fwdLag
87842eb5-23ac-4198-8dfb-04d42a25e7bb,pFB2,762,906,fwd,pFB2,762,51,140,902,Lag,Others,fwdLag
cbfc277e-969a-4c2d-9470-c0ad4c0a23f2,pFB2,771,906,fwd,pFB2,771,60,155,926,Lag,Others,fwdLag
48ef660a-2f9b-4e02-8f96-97f7587c257a,pFB2,770,892,rev,pFB2,770,60,144,914,Lead,Others,revLead
44e78778-60b0-4298-85b7-9b838df8c6bb,pFB2,783,947,fwd,pFB2,783,60,157,940,Lag,Others,fwdLag
42d368c9-3d55-4fb1-9f98-3bc74c7b0982,pFB2,784,944,rev,pFB2,784,60,158,942,Lead,Others,revLead
6acfb66a-5370-4fe5-8f46-ba8dbcc6c936,pFB2,784,954,rev,pFB2,784,26,166,950,Lead,Others,revLead
317cd410-0082-4b9c-b65a-89a61f41ea8c,pFB2,788,962,fwd,pFB2,788,60,163,951,Lag,Others,fwdLag
9a47ac12-5d0e-4f0b-a4fc-9df854b955b0,pFB2,786,939,fwd,pFB2,786,35,144,930,Lag,Others,fwdLag
02100b84-ce8e-4069-bf3b-c9c010fd76a6,pFB2,790,941,fwd,pFB2,790,60,141,931,Lag,Others,fwdLag
d6935cff-f323-4fcd-a534-462ea6b73dd1,pFB2,791,939,rev,pFB2,791,60,149,940,Lead,Others,revLead
fa9885d1-273f-451d-a8d7-31ebffde767b,pFB2,792,942,fwd,pFB2,792,26,141,933,Lag,Others,fwdLag
e7e81103-3d29-45b0-afe2-3ab237e6673d,pFB2,801,967,fwd,pFB2,801,60,167,968,Lag,Others,fwdLag
726e4543-390e-462d-85a7-c52f67b85b36,pFB2,802,971,rev,pFB2,802,60,167,969,Lead,Others,revLead
6447ea98-a224-47b8-a614-48ff56417748,pFB2,803,965,rev,pFB2,803,34,165,968,Lead,Others,revLead
297561b3-c64c-4b60-b4d1-f13b8e4a185f,pFB2,804,955,fwd,pFB2,804,60,147,951,Lag,Others,fwdLag
